paper,claim,evidence
Amodal Intra-class Instance Segmentation: Synthetic Datasets and Benchmark,The paper introduces two new amodal datasets,which contain a total of over 267K images of intra-class occlusion scenarios
Amodal Intra-class Instance Segmentation: Synthetic Datasets and Benchmark,The approach outperforms fully supervised methods,experiments show that our weakly supervised approach outperforms the SOTA fully supervised methods
Amodal Intra-class Instance Segmentation: Synthetic Datasets and Benchmark,Layer priors design exhibits remarkable performance improvements,our layer priors design exhibits remarkable performance improvements in the case of intra-class occlusion in both synthetic and real images
Image Amodal Completion: A Survey,Image amodal completion aims to equip computers with human-like amodal completion functions,"The main purpose of this survey is to provide an intuitive understanding of the research hotspots, key technologies and future trends in the field of image amodal completion."
Amodal Ground Truth and Completion in the Wild,Previous work relied on manual annotation for amodal segmentation ground truth,"In previous work, the amodal segmentation ground truth on real images is usually predicted by manual annotaton and thus is subjective."
Amodal Ground Truth and Completion in the Wild,A new evaluation benchmark is constructed,"This pipeline is used to construct an amodal completion evaluation benchmark, MP3D-Amodal, consisting of a variety of object categories and labels."
Open-World Amodal Appearance Completion,reasoning amodal completion,"We term this capability reasoning amodal completion, where the system reconstructs the full appearance of the queried object based on the provided image and language query."
Hyper-Transformer for Amodal Completion,"Traditional methods often rely on two-stage processes or additional information, leading to inefficiencies and potential error accumulation.","Learning shape priors is crucial for effective amodal completion, but traditional methods often rely on two-stage processes or additional information, leading to inefficiencies and potential error accumulation."
Hyper-Transformer for Amodal Completion,The framework uses a hyper transformer equipped with a dynamic convolution head to directly learn shape priors and accurately predict amodal masks.,This framework utilizes a hyper transformer equipped with a dynamic convolution head to directly learn shape priors and accurately predict amodal masks.
Amodal Completion via Progressive Mixed Context Diffusion,We overcome two technical challenges,"how to be free of unwanted co-occurrence bias, which tends to regenerate similar occluders, and how to judge if an amodal completion has succeeded"
Amodal Completion via Progressive Mixed Context Diffusion,Our method exhibits improved photorealistic completion results,compared to existing approaches in numerous successful completion cases
PHAC: Promptable Human Amodal Completion,Existing HAC models offer users limited control over the completed content,"Conditional image generation methods are increasingly used in human-centric applications, yet existing human amodal completion (HAC) models offer users limited control over the completed content."
PHAC: Promptable Human Amodal Completion,PHAC introduces a new task that completes occluded human images while satisfying both visible appearance constraints and multiple user prompts,"To address these limitations, we introduce promptable human amodal completion (PHAC), a new task that completes occluded human images while satisfying both visible appearance constraints and multiple user prompts."
Integrating Multimodal Large Language Model Knowledge into Amodal Completion,"Existing approaches either depend solely on the image generation ability of visual generative models, which lack such knowledge, or leverage it only during the segmentation stage","Just as humans infer hidden regions based on prior experience and common sense, this task inherently requires physical knowledge about real-world entities."
Integrating Multimodal Large Language Model Knowledge into Amodal Completion,The proposed framework harnesses the real-world knowledge of Multimodal Large Language Models to guide amodal completion,"To address this, we propose AmodalCG, a novel framework that harnesses the real-world knowledge of Multimodal Large Language Models (MLLMs) to guide amodal completion."
Amodal Completion and Size Constancy in Natural Scenes,The authors propose to tackle these issues by building upon advances in object recognition and using recently created large-scale datasets.,We consider the problem of enriching current object detection systems with veridical object sizes and relative depth estimates from a single image.
Amodal Completion and Size Constancy in Natural Scenes,Amodal bounding box completion is introduced to infer the full extent of the object instances in the image.,"We first introduce the task of amodal bounding box completion, which aims to infer the the full extent of the object instances in the image."
Amodal Completion and Size Constancy in Natural Scenes,Category-specific object size distributions can be learned from available annotations and used to infer veridical sizes in novel images.,We then propose a probabilistic framework for learning category-specific object size distributions from available annotations and leverage these in conjunction with amodal completion to infer veridical sizes in novel images.
Amodal Completion and Size Constancy in Natural Scenes,Focal length prediction can be used to overcome inherent scaling ambiguities by exploiting scene recognition.,"Finally, we introduce a focal length prediction approach that exploits scene recognition to overcome inherent scaling ambiguities and we demonstrate qualitative results on challenging real-world scenes."
"Training for X-Ray Vision: Amodal Segmentation, Amodal Content Completion, and View-Invariant Object Representation from Multi-Camera Video",MOVi-MC-AC is the largest amodal segmentation and first amodal content dataset to date,"until now, no data has provided an additional dimension for object context: the possibility of multiple cameras sharing a view of a scene."
"Training for X-Ray Vision: Amodal Segmentation, Amodal Content Completion, and View-Invariant Object Representation from Multi-Camera Video",The dataset includes multiple camera settings for object tracking between unique perspectives,MOVi-MC-AC provides consistent object ids for detections and segmentations between both frames and multiple cameras each with unique features and motion patterns on a single scene.
